Program Name,Primary Category,Secondary Tags,Track/Session,Format,Grades,Admission Type,Length,Dates 2026,Location,Credit,Price,URL
COSMOS UC Davis,STEM/Engineering,Artificial Intelligence,"Cl.1 Quantum Mechanics & Nanotech; Cl.2 Physics & Engineering; Cl.3 Engineering Mechanics; Cl.4 Astrophysics; Cl.5 Computers in Biophysics & Robotics; Cl.6 Mathematics; Cl.7 Plant Microbiology; Cl.8 Analog/Digital Electronics; Cl.10 Sustainable Transportation; Cl.11 Data Science & Big Data; Cl.12 Machine Learning; Cl.13 Sustainable Aquatic Food Production (new); Cl.14 Future Mobility: Ground & Air (new)",Residential,"Completing grades 8-12, CA high school students only",Highly competitive (statewide app closes Feb 6),4 weeks,Jul 5 - Aug 1,"UC Davis, CA",No,"$5,518 + $46 application fee (need-based aid available)",https://cosmos.ucdavis.edu/
COSMOS UC Irvine,STEM/Engineering,Biomedical,"Cl.1 Data Science in Biomedical Sciences; Cl.2 Decoding the Universe: Physics/Big Data/Computation; Cl.3 Tissue & Tumor Biology + Computational Modeling; Cl.4 Subatomic World & Expanding Universe; Cl.5 Sustainable Aviation Systems; Cl.6 Genes, Genomes & Skeletal Muscle Dystrophies; Cl.7 BioEngineering Your Brain (Brainwaves); Cl.9 Stressed Out Bugs: Bacteria & Environments",Residential,"Completing grades 8-12, CA high school students only",Highly competitive (statewide app closes Feb 6),4 weeks,Jul 5 - Jul 31,"UC Irvine, CA",No,"$5,518 + $46 application fee (need-based aid available)",https://www.cosmos.uci.edu/
COSMOS UCLA,Artificial Intelligence,STEM/Engineering,"Cl.1 Brain-Inspired Computing (Neural Networks); Cl.2 Ecosystem Responses to Climate; Cl.4 Hydrogen & Sustainability/Carbon Capture; Cl.5 Mini Robot Cars to Rockets (Mech/Aerospace Eng); Cl.6 AI for Speech and Imagery (Medicine to Hollywood); Cl.7 Revealing Molecular Structure; Cl.8 Bit by Bit: Math & Info Age Tech; Cl.9 Computational Biology: DNA to Protein; Cl.10 Smarter World: Data Science & IoT",Residential,"Completing grades 8-12, CA high school students only",Highly competitive (statewide app closes Feb 6),4 weeks,Jul 5 - Aug 1,"UCLA, Los Angeles, CA",No,"$5,518 + $46 application fee (need-based aid available)",https://cosmos.ucla.edu/
COSMOS UC Merced,STEM/Engineering,Artificial Intelligence,"Cl.1 Soft Matter: Complex Fluids and Flows; Cl.2 Nanomaterials for Chemical Reactions; Cl.3 Exploring Materials; Cl.4 AI at Scale; Cl.5 Bacterial-Animal Symbiosis & Bioluminescence; Cl.6 Digital Twins: Making Things Smarter; Cl.7 Quantum Materials & Light (0D/2D Materials)",Residential,"Completing grades 8-12, CA high school students only",Highly competitive (statewide app closes Feb 6) - first year offered 2026,4 weeks,Jul 5 - Aug 1,"UC Merced, CA",No,"$5,518 + $46 application fee (need-based aid available)",https://cosmos.ucmerced.edu/
COSMOS UC Santa Cruz,STEM/Engineering,Mathematics,"Cl.1 Number Theory and Discrete Math; Cl.2 Nanochemistry and Nanotechnology; Cl.3 Making an Animal: Development & Bioinformatics; Cl.4 Quantum Information Science & Engineering; Cl.5 Video Games: Design of Fun to Code; Cl.6 Smart and Sustainable Power; Cl.7 Photonics Revolution (Healthcare/Energy/IT); Cl.8 Practical Applications of Chemical Principles; Cl.9 Molecular Biology Investigations; Cl.10 Semiconductor Materials & Device Engineering; Cl.11 Machine Learning in Robotics; Cl.12 Quantum Materials via Neutron Scattering/X-ray; Cl.13 Crystalline Quantum Materials (QCM)",Residential,"Completing grades 8-12, CA high school students only",Highly competitive (statewide app closes Feb 6),4 weeks,Jul 5 - Aug 1,"UC Santa Cruz, CA",No,"$5,518 + $46 application fee (need-based aid available)",https://cosmos.ucsc.edu/
COSMOS UC San Diego,STEM/Engineering,Artificial Intelligence,"Music and Math: Digital Audio; Engineering Design & Control of Kinetic Sculptures; Climate Change; Cool Tech: Heating & Cooling Science; PhotonQuest: Devices to Quantum Frontiers; Biodiesel from Renewable Sources; Machine Learning: Teaching a Computer to Think; Tissue Engineering & Regenerative Medicine; Music and Technology: Microphones/Microcontrollers; Robot Inventors",Residential,"Completing grades 8-12, CA high school students only",Highly competitive (statewide app closes Feb 6),4 weeks,Jul 5 - Jul 31,"UC San Diego, CA",No,"$5,518 + $46 application fee (need-based aid available)",https://jacobsschool.ucsd.edu/cosmos/
Stanford AI4ALL,Artificial Intelligence,Leadership/Gifted,Residential Session,Residential,Rising 10th grade,Highly competitive,2 weeks,Jul 19-31,Stanford CA,No,Free/subsidized,https://ai4all.spcs.stanford.edu/
Stanford AI4ALL,Artificial Intelligence,Leadership/Gifted,Online Session,Online,Rising 10th grade,Highly competitive,2 weeks,Jun 15-26,Online,No,Free/subsidized,https://ai4all.spcs.stanford.edu/
Inspirit AI Live Online,Artificial Intelligence,,,Online,Grades 9-12,Rolling,2 weeks,Multiple summer cohorts,Online,No,~$1100,https://www.inspiritai.com/liveonline
Engineering Summer Academy at Penn (ESAP),Artificial Intelligence,STEM/Engineering,Biotech/CS/Robotics/Nanotech/Graphics,Residential,Entering 10-12,Selective (deadline Feb 28),3 weeks,Jul 12-31,"Philadelphia, PA",Yes (college credit),$9250,https://esap.seas.upenn.edu/about/
MIT Women's Technology Program (WTP),Artificial Intelligence,STEM/Engineering,Mechanical Engineering & CS,Residential,Rising Seniors (girls only),Highly competitive,4 weeks,Late Jun - Late Jul,"Cambridge, MA",No,Free/substantial need-based aid,https://web.mit.edu/wtp/
Stanford Pre-Collegiate Summer Institutes,Artificial Intelligence,,AI course,Online,Grades 8-11,Selective (~20-30% acceptance),2 weeks,"Session 1: Jun 15-26; Session 2: Jul 6-17",Online (live),No,$3080-$3200,https://summerinstitutes.spcs.stanford.edu/courses/2026/artificial-intelligence
JHU Engineering Summer AI Institute,Artificial Intelligence,STEM/Engineering,,Residential,HS through early workforce,Rolling (register by May 1),2 weeks,Jul 20 - Aug 1,"Baltimore, MD",No (Certificate of Achievement),$8500 incl. lodging/meals,https://engineering.jhu.edu/education/engineering-summer-ai-institute/
CMU Pre-College,Artificial Intelligence,Leadership/Gifted,AI Scholars,Residential,Rising HS seniors (11th at application),"Highly selective, fully funded",4 weeks,Jun - Aug,"Pittsburgh, PA",No,Free (fully funded),https://www.cmu.edu/pre-college/
